story	Story(name=speedometer_2.1)
Angular2-TypeScript-TodoMVC
Adding100Items
Async	31.793121767496253
Sync	42.739862786107224
total	74.67753782236731
CompletingAllItems
Async	13.295340417363771
Sync	8.570560286576342
total	21.910385928500165
DeletingItems
Async	2.6664182860376955
Sync	16.449869591719228
total	19.150451885671966
total	116.03058980508538
AngularJS-TodoMVC
Adding100Items
Async	40.89609803043943
Sync	155.25616083486267
total	196.23973993592742
CompletingAllItems
Async	24.345953385558175
Sync	55.30069555081119
total	79.8831222390663
DeletingAllItems
Async	14.742262349792913
Sync	168.17785695600324
total	183.01906029508845
total	461.82854016307374
BackboneJS-TodoMVC
Adding100Items
Async	36.48983459581253
Sync	55.52499445891992
total	92.06943839400367
CompletingAllItems
Async	27.542176728804264
Sync	37.934893815650675
total	65.49081240258266
DeletingAllItems
Async	3.290018732849448
Sync	26.06780779908179
total	29.381106683209058
total	187.19113518892487
Elm-TodoMVC
Adding100Items
Async	47.02778908983903
Sync	94.85287284439273
total	142.73393389367465
CompletingAllItems
Async	30.90999695461413
Sync	96.13494681547563
total	127.8637416245362
DeletingItems
Async	9.674783236968807
Sync	102.8150352555027
total	113.8114701271346
total	392.55053755211645
EmberJS-Debug-TodoMVC
Adding100Items
Async	39.40815260808197
Sync	413.44997541343156
total	452.9307989809941
CompletingAllItems
Async	27.048474517274773
Sync	281.26344980037953
total	308.5466620122803
DeletingItems
Async	6.286929630263687
Sync	290.79108272904375
total	299.1740219429054
total	1066.551211845129
EmberJS-TodoMVC
Adding100Items
Async	34.30253333849715
Sync	146.54048913064352
total	181.05192657102364
CompletingAllItems
Async	26.217814328616036
Sync	96.80325420387086
total	123.17056623249576
DeletingItems
Async	3.4473880807945805
Sync	64.16946116407757
total	68.02367812812462
total	374.4923288092077
Flight-TodoMVC
Adding100Items
Async	32.55548515031103
Sync	79.04064696146884
total	111.67041564655347
CompletingAllItems
Async	24.81861315067682
Sync	86.6680937655512
total	111.54239195272076
DeletingItems
Async	3.022903645414021
Sync	70.8911075470142
total	74.11579104625184
total	298.08154208634306
Inferno-TodoMVC
Adding100Items
Async	37.66685619548291
Sync	42.956280634106214
total	80.75183955143254
CompletingAllItems
Async	6.671401162757442
Sync	87.92204574551218
total	94.71053825884474
DeletingItems
Async	3.1582163213033745
Sync	212.00551138015175
total	215.389169630332
total	392.28505450973734
Preact-TodoMVC
Adding100Items
Async	37.10050786776784
Sync	5.015442549492878
total	42.12335992801768
CompletingAllItems
Async	16.26340598143925
Sync	3.0298780666259186
total	19.30371683758819
DeletingItems
Async	4.339646437924275
Sync	1.638432292943953
total	5.985481856232135
total	67.45301970918231
React-Redux-TodoMVC
Adding100Items
Async	34.14206802250265
Sync	133.37708624398257
total	167.6867524556104
CompletingAllItems
Async	26.547464719874057
Sync	143.48034967130818
total	170.30459603884918
DeletingItems
Async	4.548770184615605
Sync	90.9804419039185
total	96.24477165246263
total	438.13883236565056
React-TodoMVC
Adding100Items
Async	34.672867208321414
Sync	106.73721745311552
total	141.49522395230807
CompletingAllItems
Async	27.031636948431938
Sync	72.70174362140239
total	100.5048211934667
DeletingAllItems
Async	3.3412596038066837
Sync	47.2527002319269
total	50.946735872386355
total	297.7847352188875
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	34.84836853435265
Sync	299.4774758482051
total	334.4135409011822
CompletingAllItems
Async	25.54478175371307
Sync	63.78456264605734
total	89.45188619616623
DeletingItems
Async	3.0725404157684957
Sync	40.14939262548404
total	43.38614537362599
total	467.95969378040587
Vanilla-ES2015-TodoMVC
Adding100Items
Async	34.31586991998712
Sync	307.8541838398348
total	342.2333287586332
CompletingAllItems
Async	26.698793105550198
Sync	63.483553034346706
total	90.27889649832163
DeletingItems
Async	3.047669369791098
Sync	40.43275674865876
total	43.73054961579258
total	477.7593105108481
VanillaJS-TodoMVC
Adding100Items
Async	33.42428594313835
Sync	219.01410366652445
total	252.5171217421327
CompletingAllItems
Async	24.967364734298457
Sync	55.04340928973631
total	80.10859593147116
DeletingAllItems
Async	3.3515065570445746
Sync	35.70829765148659
total	39.36694672934216
total	372.8432987925959
VueJS-TodoMVC
Adding100Items
Async	51.98625566376471
Sync	7.528578513163897
total	59.53222296597496
CompletingAllItems
Async	24.54032390423794
Sync	3.2384932105259145
total	27.805551840317346
DeletingAllItems
Async	8.72319321916273
Sync	4.283273863764373
total	13.096301483094818
total	100.90463885012744
jQuery-TodoMVC
Adding100Items
Async	37.578472629863796
Sync	449.62337614158525
total	487.2203838964311
CompletingAllItems
Async	34.791616993736355
Sync	871.7232490941329
total	906.6536482442604
DeletingAllItems
Async	4.149242740021595
Sync	458.8583306678082
total	463.8043732596219
total	1859.211063456384
geomean	335.1243116896365
mean	462.6568994230824
score	59.67934674498433
total	7402.510390769321
