label	chrome-handles-no-gc_default	chrome-direct-no-gc_default
browser	Chrome	Chrome
version	112.0.5572.0	112.0.5572.0
binary	/home/jake/research/chromium/src/out/baseline-no-gc/chrome	/home/jake/research/chromium/src/out/direct-handles-no-gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding
Angular2-TypeScript-TodoMVC		
Adding100Items		
Async	32.09933754049014	31.692886555249185
Sync	42.675338882247445	42.111575823014576
total	74.82283589709881	73.8473666215664
CompletingAllItems		
Async	13.376468333622695	12.749225556952206
Sync	8.511727999314026	8.3997407653058
total	21.941107694311142	21.160062041675438
DeletingItems		
Async	2.8088689160787372	2.885556141541652
Sync	16.53129133262968	16.412545441230357
total	19.528751074664108	19.63906394205325
total	116.61943321429926	115.01440625861528
AngularJS-TodoMVC		
Adding100Items		
Async	41.48213859737247	41.04830674896688
Sync	156.31526187106257	155.40338533408018
total	197.81532390996787	196.481130141029
CompletingAllItems		
Async	25.855903648361934	25.062827582253544
Sync	55.09142404572546	54.89704428592622
total	81.2962054819713	80.13799297640429
DeletingAllItems		
Async	15.250795742908176	15.245482261098928
Sync	159.58540075242232	159.14760041313286
total	174.92986193049077	174.4968446483647
total	454.2694984706674	451.2778679302995
BackboneJS-TodoMVC		
Adding100Items		
Async	41.79332143594512	41.12136755910876
Sync	55.16292847446671	54.68632416830827
total	97.11281735649487	95.98300773461263
CompletingAllItems		
Async	34.057924738040114	31.582188761725018
Sync	37.61369370632584	36.997464733436836
total	72.49977038867391	68.95212421001483
DeletingAllItems		
Async	5.017214163368157	4.821559226720148
Sync	26.155279338953495	25.610146948378112
total	31.708749702315195	30.937375314484665
total	201.97117181014147	196.18454519099996
Elm-TodoMVC		
Adding100Items		
Async	48.53094826752018	47.4530889509589
Sync	87.0066573814505	85.69133026032807
total	135.6166763326731	133.24016185859804
CompletingAllItems		
Async	30.09614527787763	29.589358803361357
Sync	83.47350636460928	81.74613028574208
total	113.60096926521314	111.36753154829417
DeletingItems		
Async	8.866202380892593	8.73142925739438
Sync	103.51991173429774	100.20921121795841
total	112.47629189189193	109.02517020088243
total	361.7915752575376	353.67545112518553
EmberJS-Debug-TodoMVC		
Adding100Items		
Async	46.27580310772774	45.21137892936328
Sync	729.353705733694	726.5584080118725
total	776.4315452028756	772.4245026444333
CompletingAllItems		
Async	34.11856285797876	33.97734465714994
Sync	298.8848380618634	299.201849058978
total	333.5717174792964	333.77366908912114
DeletingItems		
Async	10.62554032280518	10.465620333125216
Sync	285.2925210384544	283.4837492958013
total	298.2690928684403	296.40310592036553
total	1418.3910504263056	1409.2601722656345
EmberJS-TodoMVC		
Adding100Items		
Async	34.353603315480974	34.11094771904885
Sync	152.3298879615611	149.2705872690692
total	186.80832757080915	183.62680738120028
CompletingAllItems		
Async	28.861341701072416	28.342389102423024
Sync	107.64869976291837	106.56024628915374
total	136.81605299340626	135.18667402537906
DeletingItems		
Async	3.360912928841295	3.462690073571666
Sync	73.47339652379087	72.99290695939888
total	77.143775253151	76.51963333667004
total	401.9738618380626	396.45599826463496
Flight-TodoMVC		
Adding100Items		
Async	33.40702596010214	33.14503522370549
Sync	78.32609657912556	78.06447823806435
total	111.74736541308702	111.22424550114138
CompletingAllItems		
Async	25.438167618656152	24.81389799107736
Sync	85.62596524529634	84.99327696626095
total	111.10021573061354	109.82612298425386
DeletingItems		
Async	3.6482855077141148	3.4570143643792015
Sync	70.15523909136145	69.72137221750057
total	75.21207898840628	73.82151421076176
total	298.43587443915897	295.11120769263357
Inferno-TodoMVC		
Adding100Items		
Async	38.81495921815055	38.1741197958443
Sync	43.635827091531475	43.2541959210202
total	82.56464865048841	81.52697541956202
CompletingAllItems		
Async	6.623377878705426	6.554502281451307
Sync	85.60853553231065	85.06567267293165
total	92.3291674421253	91.70521608318737
DeletingItems		
Async	3.1696598801361167	3.1761029755620895
Sync	205.05455036149567	201.68933526818873
total	208.26202749272633	204.90482897895808
total	383.2576534742054	378.25802607910896
Preact-TodoMVC		
