story	Story(name=speedometer_2.1)
Angular2-TypeScript-TodoMVC
Adding100Items
Async	37.95312458465929
Sync	59.198821699947
total	97.18919464730132
CompletingAllItems
Async	18.282198421894385
Sync	10.127311180302566
total	28.474696476108058
DeletingItems
Async	3.8414880477670987
Sync	18.709460063406983
total	22.627522604294658
total	148.48667388650563
AngularJS-TodoMVC
Adding100Items
Async	52.934544139048256
Sync	268.07055416327944
total	321.6440586911241
CompletingAllItems
Async	35.99759544180499
Sync	82.90481489262437
total	119.41484474184763
DeletingAllItems
Async	17.295880690703964
Sync	245.64396459349365
total	263.1947003341502
total	705.2706500711305
BackboneJS-TodoMVC
Adding100Items
Async	45.42349868247226
Sync	97.72534504980665
total	143.4654942178496
CompletingAllItems
Async	33.954657395197586
Sync	55.45286922383598
total	89.50050813755836
DeletingAllItems
Async	4.970824246803096
Sync	30.761113365130978
total	35.76052697881523
total	268.87701553848206
Elm-TodoMVC
Adding100Items
Async	53.03492408874373
Sync	176.88713911268397
total	235.05604609724412
CompletingAllItems
Async	41.00382155245662
Sync	150.0401273501686
total	194.104349131528
DeletingItems
Async	11.205360942866545
Sync	257.59523555523145
total	270.73381936533383
total	776.6370076573514
EmberJS-Debug-TodoMVC
Adding100Items
Async	45.47147179119352
Sync	593.3539249523859
total	638.9109336516592
CompletingAllItems
Async	32.530271503660266
Sync	359.46761335159766
total	392.0690565114972
DeletingItems
Async	5.214958184196745
Sync	381.93835632917904
total	387.4860009547465
total	1418.8964043062042
EmberJS-TodoMVC
Adding100Items
Async	42.860408859237964
Sync	223.11315413167836
total	266.11273126361345
CompletingAllItems
Async	36.48088191120815
Sync	124.07062845586982
total	160.8120979425491
DeletingItems
Async	4.89151546941892
Sync	83.54767385064166
total	88.68196438214851
total	516.3400507589125
Flight-TodoMVC
Adding100Items
Async	40.74113354109716
Sync	111.61634207033985
total	152.50594046063208
CompletingAllItems
Async	32.845976079109064
Sync	119.67308548695834
total	152.65002130086702
DeletingItems
Async	4.9365406859980165
Sync	104.50497015798489
total	109.77470481771807
total	415.0295160862778
Inferno-TodoMVC
Adding100Items
Async	44.260202184335405
Sync	56.05790561606747
total	100.58156802175546
CompletingAllItems
Async	10.613794030287618
Sync	116.90711374776573
total	128.04022997874625
DeletingItems
Async	4.090107160846051
Sync	242.76748985123606
total	246.90681159585006
total	475.9153272908074
Preact-TodoMVC
Adding100Items
Async	55.5970671619464
Sync	9.162647372582663
total	64.79347453771732
CompletingAllItems
Async	28.942477403153777
Sync	3.852671149460238
total	32.88347723187584
DeletingItems
Async	7.4863000469178385
Sync	2.132536561900323
total	9.6351899473419
total	108.40528258511466
React-Redux-TodoMVC
Adding100Items
Async	42.597821563384656
Sync	195.30920366879752
total	238.16430573657018
CompletingAllItems
Async	31.746552954682254
Sync	171.5719362856322
total	203.3614712797069
DeletingItems
Async	4.511909448649911
Sync	113.33929649293827
total	117.92916105549378
total	559.7593725671018
React-TodoMVC
Adding100Items
Async	43.21357138975311
Sync	147.53939395349127
total	190.883813487612
CompletingAllItems
Async	33.290153013900365
Sync	85.33514874867397
total	118.73615590982936
DeletingAllItems
Async	4.296489917647882
Sync	56.16966362268752
total	60.56771610245752
total	370.435331275323
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	38.82248936936252
Sync	337.53240194085123
total	376.40087695754914
CompletingAllItems
Async	31.433880781863845
Sync	78.29860220549962
total	109.76004425164987
DeletingItems
Async	4.435536037477706
Sync	51.204293566580105
total	55.6790958909874
total	541.9786293532923
Vanilla-ES2015-TodoMVC
Adding100Items
Async	38.27522563783408
Sync	346.9015688679245
total	385.2087696166916
CompletingAllItems
Async	31.383550841315998
Sync	78.09600352589734
total	109.50593872222737
DeletingItems
Async	4.339675801932489
Sync	50.458711184893936
total	54.84940747132071
total	549.7030306831197
VanillaJS-TodoMVC
Adding100Items
Async	38.35589331200775
Sync	245.05594552114667
total	283.4555308570781
CompletingAllItems
Async	31.206582650609242
Sync	68.35629473934348
total	99.59864805863968
DeletingAllItems
Async	4.339398234549464
Sync	45.74253822075307
total	50.10747581361272
total	433.2921867170418
VueJS-TodoMVC
Adding100Items
Async	71.98272287451432
Sync	12.255195239433451
total	84.35328230208484
CompletingAllItems
Async	33.684813758466674
Sync	3.9896820025321675
total	37.693772587538646
DeletingAllItems
Async	10.391268046726486
Sync	5.246017160740156
total	15.653244950850981
total	137.87756757449276
jQuery-TodoMVC
Adding100Items
Async	46.29872882976922
Sync	532.3965178588351
total	578.6997526341396
CompletingAllItems
Async	41.69888707287752
Sync	1003.2287348359092
total	1044.9435420955122
DeletingAllItems
Async	4.254748810651544
Sync	537.5898180208209
total	541.8619309332656
total	2165.5412572652594
geomean	449.1346947769851
mean	609.14833856063
score	44.53007134069408
total	9746.373416970082
