label	chrome-handles-no-gc_no_sandbox_js_flags=no_incremental_marking initial_old_space_size=4092	chrome-direct-no-gc_no_sandbox_js_flags=no_incremental_marking initial_old_space_size=4092
browser	Chrome	Chrome
version	112.0.5572.0	112.0.5572.0
binary	/home/jake/chromium/src/out/handles/chrome	/home/jake/chromium/src/out/direct_pointers/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-incremental-marking --initial-old-space-size=4092	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-incremental-marking --initial-old-space-size=4092
Angular2-TypeScript-TodoMVC		
Adding100Items		
Async	37.921678096128616	37.95312458465929
Sync	60.37072537315075	59.198821699947
total	98.3316669027497	97.18919464730132
CompletingAllItems		
Async	18.082945413310167	18.282198421894385
Sync	10.208067843834511	10.127311180302566
total	28.350186308545116	28.474696476108058
DeletingItems		
Async	3.826494473034118	3.8414880477670987
Sync	18.808510739066755	18.709460063406983
total	22.694030868317846	22.627522604294658
total	149.54429977973427	148.48667388650563
AngularJS-TodoMVC		
Adding100Items		
Async	52.633385390930755	52.934544139048256
Sync	279.77911972483145	268.07055416327944
total	332.97399012147423	321.6440586911241
CompletingAllItems		
Async	36.10276477143789	35.99759544180499
Sync	86.94969168835262	82.90481489262437
total	123.63951035041472	119.41484474184763
DeletingAllItems		
Async	17.106296687984855	17.295880690703964
Sync	247.2888882077384	245.64396459349365
total	264.6065556820112	263.1947003341502
total	722.3008891372763	705.2706500711305
BackboneJS-TodoMVC		
Adding100Items		
Async	45.60240331932764	45.42349868247226
Sync	108.83501217665697	97.72534504980665
total	155.0401215324933	143.4654942178496
CompletingAllItems		
Async	34.07112671272171	33.954657395197586
Sync	59.49872349293389	55.45286922383598
total	93.7396212010464	89.50050813755836
DeletingAllItems		
Async	4.9588289828532925	4.970824246803096
Sync	30.955537689457472	30.761113365130978
total	35.94711329839197	35.76052697881523
total	285.01447021347275	268.87701553848206
Elm-TodoMVC		
Adding100Items		
Async	52.84594320676107	53.03492408874373
Sync	176.00058597078427	176.88713911268397
total	233.6694757531609	235.05604609724412
CompletingAllItems		
Async	40.945840068302424	41.00382155245662
Sync	152.72038024514694	150.0401273501686
total	197.07027048332714	194.104349131528
DeletingItems		
Async	11.076556897508548	11.205360942866545
Sync	312.6038478208397	257.59523555523145
total	325.8038683316306	270.73381936533383
total	848.6180583246552	776.6370076573514
EmberJS-Debug-TodoMVC		
Adding100Items		
Async	45.40733165638428	45.47147179119352
Sync	592.6440493851353	593.3539249523859
total	638.1441484592514	638.9109336516592
CompletingAllItems		
Async	32.28312719885581	32.530271503660266
Sync	359.6684700936507	359.46761335159766
total	391.9978552702094	392.0690565114972
DeletingItems		
Async	5.317151610915641	5.214958184196745
Sync	381.93858340239836	381.93835632917904
total	387.7244109481719	387.4860009547465
total	1418.33512007044	1418.8964043062042
EmberJS-TodoMVC		
Adding100Items		
Async	42.848207205527856	42.860408859237964
Sync	225.08571560865064	223.11315413167836
total	268.0707330834089	266.11273126361345
CompletingAllItems		
Async	35.945866123570255	36.48088191120815
Sync	123.1075789961484	124.07062845586982
total	159.30494932131998	160.8120979425491
DeletingItems		
Async	5.042409487974088	4.89151546941892
Sync	82.96192224089378	83.54767385064166
total	88.30993724851031	88.68196438214851
total	516.210997377135	516.3400507589125
Flight-TodoMVC		
Adding100Items		
Async	40.81281494315833	40.74113354109716
Sync	117.49016387829806	111.61634207033985
total	158.56287632934993	152.50594046063208
CompletingAllItems		
Async	32.695557272137265	32.845976079109064
Sync	124.72535022277702	119.67308548695834
total	157.59289348380457	152.65002130086702
DeletingItems		
Async	5.002636991704264	4.9365406859980165
Sync	109.78791974963522	104.50497015798489
total	115.19930941802967	109.77470481771807
total	431.4599092481634	415.0295160862778
Inferno-TodoMVC		
Adding100Items		
Async	44.18856207208508	44.260202184335405
Sync	56.89845891518929	56.05790561606747
total	101.30880543000463	100.58156802175546
CompletingAllItems		
Async	10.531669571782341	10.613794030287618
Sync	116.80381453096777	116.90711374776573
