label	chrome-handles-no-compact_no_sandbox_js_flags=no_compact_with_stack	chrome-direct-no-compact_no_sandbox_js_flags=no_compact_with_stack
browser	Chrome	Chrome
version	112.0.5572.0	112.0.5572.0
binary	/home/jake/chromium/src/out/handles_full_gc/chrome	/home/jake/chromium/src/out/direct_pointers_full_gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack
Angular2-TypeScript-TodoMVC		
Adding100Items		
Async	37.7393113385546	37.96017804812015
Sync	54.73080463181661	55.485962048268995
total	92.63309678434949	93.70779362991665
CompletingAllItems		
Async	14.38262288467127	15.071483076253655
Sync	9.965341698236822	9.954724762134587
total	24.380182715448694	25.116911277926224
DeletingItems		
Async	3.798112915450123	3.7687704517935683
Sync	18.10874382481663	18.04686937619739
total	22.02805114501635	21.940453610974835
total	139.35378945540316	141.25493767930533
AngularJS-TodoMVC		
Adding100Items		
Async	51.87789535376537	52.408520987648
Sync	242.37148272276698	235.72414682749863
total	295.05532317660493	288.98479606544635
CompletingAllItems		
Async	33.4847777200054	34.410013889900185
Sync	71.98185417177821	72.27167025922556
total	106.13077318092658	107.65948051521201
DeletingAllItems		
Async	16.603700249602383	16.300175626875607
Sync	264.7031645507334	253.48005338900856
total	282.05387231857475	270.8612199320991
total	689.6922562078827	673.6746892381711
BackboneJS-TodoMVC		
Adding100Items		
Async	43.5860864213976	43.74496420546989
Sync	71.73888071635072	70.71233572784314
total	115.39522436722068	114.51993405418865
CompletingAllItems		
Async	33.1078840681788	33.1821868960868
Sync	46.90057127929133	45.95563876602016
total	80.05493320905885	79.15417342072124
DeletingAllItems		
Async	4.850286689656681	4.833095480452296
Sync	30.107962567064813	29.98097935948275
total	35.012546738725696	34.87553028301245
total	230.85408442989822	229.22587770236512
Elm-TodoMVC		
Adding100Items		
Async	51.176739111949026	51.623093274445104
Sync	135.61568750968542	133.05648408338826
total	187.98065754177605	185.93358532163504
CompletingAllItems		
Async	35.130552097735176	34.84710674530241
Sync	139.80617487585081	128.87282143381228
total	175.96544252337128	164.7525694459024
DeletingItems		
Async	10.721256678702497	10.753010175881416
Sync	150.89967509462863	147.60543521046154
total	162.1270424477031	159.33463247344312
total	538.8415054329687	523.1099538478019
EmberJS-Debug-TodoMVC		
Adding100Items		
Async	47.81178565179781	47.53975440370606
Sync	586.424996567923	583.6496658058974
total	634.3587884428847	631.3519612260444
CompletingAllItems		
Async	32.13073878340636	30.63596956816549
Sync	370.6787961998742	362.72538385782394
total	402.9806947319878	393.5184792283566
DeletingItems		
Async	8.613364272355353	8.296416708538121
Sync	386.0493952712629	392.74652844971905
total	395.9019689989303	402.58235338120323
total	1441.8754105077883	1437.500460964515
EmberJS-TodoMVC		
Adding100Items		
Async	43.55276669452577	43.88591784436806
Sync	208.01913609015156	209.0286939490923
total	251.87764653861768	253.27483997984825
CompletingAllItems		
Async	33.941719688543984	34.15392971285671
Sync	118.20560135276916	121.78532245872145
total	152.598796040358	156.46105072283564
DeletingItems		
Async	4.442925083682781	4.736698021647291
Sync	80.69177650220254	82.9306863352482
total	85.48901730028024	88.11869631787532
total	491.9584048454601	501.58759998077574
Flight-TodoMVC		
Adding100Items		
Async	38.95014122196189	39.18825514099608
Sync	98.66879486872328	98.66280292212295
total	137.67167239233083	137.98186604255187
CompletingAllItems		
Async	28.634295765160402	28.94216637327687
Sync	105.99770394365382	105.90533303949945
total	134.66337188719055	134.88618933005205
DeletingItems		
Async	3.8573458622068566	3.970499268199375
Sync	90.09178286866322	90.32792224620796
total	93.99365406395559	94.41279544169886
total	366.9741444170691	368.5642757166224
Inferno-TodoMVC		
Adding100Items		
Async	44.44718003589626	44.9335476405774
Sync	50.80941165341995	50.21652192015822
total	95.83703548877094	95.51825049796177
CompletingAllItems		
Async	10.524859172708604	9.965466547585855
Sync	112.20964062823687	110.94701202349202
total	123.3479185267283	121.47015770302654
DeletingItems		
